ST	n_clusters	n_isolates	n_isolates_clusters	n_isolates_singletons	n_countries	n_countries_clusters	n_countries_singletons	n_sites	n_sites_clusters	n_sites_singletons	n_clones	n_clones_clusters	n_clones_singletons	mean_res_score	mean_res_score_clusters	mean_res_score_singletons	median_cluster_size	median_outbreak_duration
ST6774	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST6776	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST6777	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST6788	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST6931	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST702-1LV	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST7081	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST711	0	3	0	3	2	0	2	3	0	3	1	0	1	1	NA	1	NA	NA
ST716	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST73	0	3	0	3	2	0	2	2	0	2	1	0	1	1	NA	1	NA	NA
ST789	0	2	0	2	1	0	1	1	0	1	1	0	1	0.5	NA	0.5	NA	NA
ST815	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST86	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST870	0	1	0	1	1	0	1	1	0	1	1	0	1	0	NA	0	NA	NA
ST967	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST985-1LV	0	2	0	2	2	0	2	2	0	2	1	0	1	1	NA	1	NA	NA
ST987	0	1	0	1	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
ST997	0	2	0	2	1	0	1	1	0	1	1	0	1	1	NA	1	NA	NA
