iso1,iso2,dist,weeks,pair_location
104170,60914,9381,329,Same
104170,60930,9387,328.7,Same
104170,60952,9311,328.3,Same
104170,60953,9106,328.3,Same
104170,61157,9891,326.3,Same
104170,61271,9398,324.9,Same
104170,61918,9870,317.4,Same
104170,63004,9684,306.6,Same
104170,63770,9923,297.7,Same
104170,64476,9878,276.7,Same
104170,64602,9906,272.4,Same
104170,64631,9962,271.7,Same
104170,65002,9820,261.9,Same
104170,65516,9841,250.1,Same
104170,65587,10058,245.7,Same
104170,65614,9931,244.4,Same
104170,65830,9906,235.6,Same
104170,65858,8954,234.6,Same
104170,65881,8989,233.7,Same
104170,65885,9396,233.4,Same
104170,65889,8989,233.3,Same
104170,65931,10136,231.7,Same
104170,65962,9916,229.7,Same
104170,66013,9802,225.7,Same
104170,66044,9843,223.9,Same
104170,66181,8977,216,Same
104170,66470,9980,208,Same
104170,66673,9898,205,Same
104170,66721,9396,204.3,Same
104170,66722,10160,204.4,Same
104170,66761,9893,203,Same
104170,66762,9887,203,Same
104170,66778,9893,202.9,Same
104170,66793,9893,202.4,Same
104170,66840,9893,201.3,Same
104170,66997,10105,196.3,Same
104170,67202,9715,183.9,Same
104170,67403,9986,177.6,Same
104170,67467,9715,176.6,Same
104170,67468,9846,176.7,Same
104170,67469,9891,176.6,Same
104170,67470,9988,176.7,Same
104170,67480,9846,176.6,Same
104170,67503,9845,176.3,Same
104170,67635,9813,173.7,Same
104170,67641,9814,173.6,Same
104170,67645,9814,173.4,Same
104170,67713,10069,171.4,Same
104170,67756,9901,170.4,Same
104170,67759,9901,170.4,Same
104170,67762,9901,170.4,Same
104170,67814,9849,169.9,Same
104170,67865,9814,168.7,Same
104170,68009,9869,166.7,Same
104170,68745,10022,159.9,Same
104170,68879,10097,158.6,Same
104170,69206,9960,156,Same
104170,69564,9960,153.7,Same
104170,69687,9960,152.1,Same
104170,69728,9960,151.9,Same
104170,70650,10251,139.6,Same
104170,70875,9691,129.6,Same
104170,71359,10021,123.7,Same
104170,75028,9818,99.4,Same
104170,77559,9682,85.3,Same
104170,77837,9964,82.3,Same
104170,77856,9964,82.1,Same
104170,77867,9942,82,Same
104170,77982,9954,81.1,Same
104170,77986,9963,81,Same
104170,78020,9948,80.9,Same
104170,78028,9955,80.9,Same
104170,78037,9943,80.6,Same
104170,78150,9967,79.9,Same
104170,79771,2173,74.3,Same
104170,80181,2274,73.6,Same
104170,80409,9959,72.9,Same
104170,81045,9965,71,Same
104170,82187,10019,67.1,Same
104170,84249,10004,60.7,Same
104170,84586,9929,59.6,Same
104170,84587,9903,59.6,Same
104170,84588,9950,59.4,Same
104170,84590,9839,59.7,Same
104170,84682,9897,59.4,Same
104170,84774,9962,59,Same
104170,84816,9413,59,Same
104170,84817,9689,59,Same
104170,84883,9896,58.7,Same
104170,84906,9860,58.6,Same
104170,84920,9897,58.4,Same
104170,85130,9897,58.1,Same
104170,85135,9871,58,Same
104170,85420,9758,57.6,Same
104170,85550,9897,57.1,Same
104170,85900,9898,56.7,Same
104170,85908,9898,56.7,Same
104170,87339,9684,54.4,Same
104170,88197,10035,52.3,Same
104170,89999,9967,48.1,Same
104170,92044,10317,42.1,Same
104170,92868,9935,40.4,Same
104170,96134,9779,28.6,Same
104646,105046,9526,2.6,Same
104646,106175,9542,9.6,Same
104646,106180,823,9.6,Same
104646,106221,823,10.3,Same
104646,106847,9863,13.9,Same
104646,106859,8712,14,Same
104646,107400,9368,20.4,Same
104646,107702,9255,24,Same
104646,107830,735,25.7,Same
104646,108059,9624,28.1,Same
104646,108242,733,30.3,Same
104646,108243,734,30.3,Same
104646,108297,734,31,Same
104646,108372,734,32,Same
104646,108386,735,33.4,Same
104646,108396,734,34.1,Same
104646,108403,734,34.7,Same
104646,108404,734,34.9,Same
104646,108410,9502,35.4,Same
104646,108550,9152,47.4,Same
104646,108594,9151,51.3,Same
104646,108620,9865,54,Same
104646,109463,9612,61,Same
104646,109575,9937,63.7,Same
104646,109644,9936,64.9,Same
104646,109794,9757,69.1,Same
104646,110274,9252,77.3,Same
104646,110517,9434,82,Same
104646,110687,9567,85.6,Same
104646,112036,9393,103.1,Same
104646,112163,2725,103.9,Same
104646,112311,9850,107,Same
